timestamp,workload_0_10,stress_0_10,hrv_rmssd_ms,pressure_hpa,humidity_pct,temperature_c,migraine_prob_next_hour,hour,dayofweek,is_weekday
2023-01-01 00:00:00,6.3,7.31,38.47,1012.8,50.2,13.2,,0,6,0
2023-01-01 01:00:00,5.78,6.16,36.89,1012.3,57.3,12.0,0.106945,1,6,0
2023-01-01 02:00:00,5.64,6.06,33.42,1012.6,58.6,11.5,0.144307,2,6,0
2023-01-01 03:00:00,5.71,5.96,32.0,1012.1,60.3,9.6,0.084556,3,6,0
2023-01-01 04:00:00,4.7,3.62,34.05,1011.2,61.1,8.8,0.13573,4,6,0
2023-01-01 05:00:00,4.37,4.54,28.4,1011.2,60.9,7.6,0.106252,5,6,0
2023-01-01 06:00:00,3.99,5.45,29.83,1011.2,68.6,6.8,0.043276,6,6,0
2023-01-01 07:00:00,2.18,2.38,36.58,1011.7,62.2,7.4,0.065019,7,6,0
2023-01-01 08:00:00,2.81,3.66,42.07,1011.7,67.1,7.7,0.015228,8,6,0
2023-01-01 09:00:00,2.97,4.48,39.82,1010.7,70.3,7.2,0.021822,9,6,0
2023-01-01 10:00:00,2.13,2.81,49.76,1010.5,75.1,6.2,0.126878,10,6,0
2023-01-01 11:00:00,1.8,1.84,60.21,1011.1,73.5,8.7,0.019181,11,6,0
2023-01-01 12:00:00,2.11,3.68,52.27,1010.5,68.5,7.7,0.008894,12,6,0
2023-01-01 13:00:00,1.84,2.97,49.16,1010.7,67.8,9.8,0.038381,13,6,0
2023-01-01 14:00:00,1.72,3.04,50.82,1011.6,59.6,11.3,0.01428,14,6,0
2023-01-01 15:00:00,0.76,1.47,56.05,1011.4,55.4,13.5,0.017286,15,6,0
2023-01-01 16:00:00,1.66,1.96,66.9,1011.0,61.3,15.0,0.006406,16,6,0
2023-01-01 17:00:00,2.19,3.43,76.11,1009.8,49.3,16.5,0.009981,17,6,0
2023-01-01 18:00:00,2.85,3.95,61.15,1010.2,55.3,18.5,0.042213,18,6,0
2023-01-01 19:00:00,2.06,3.84,67.31,1011.0,57.8,19.5,0.017977,19,6,0
2023-01-01 20:00:00,3.98,5.5,77.46,1011.3,52.2,18.4,0.017101,20,6,0
2023-01-01 21:00:00,4.45,5.85,65.22,1011.1,59.7,19.6,0.023903,21,6,0
2023-01-01 22:00:00,4.42,5.49,53.36,1011.5,47.4,20.3,0.051979,22,6,0
2023-01-01 23:00:00,6.31,8.34,37.87,1012.3,45.7,19.3,0.041304,23,6,0
2023-01-02 00:00:00,9.14,10.0,29.63,1012.3,51.0,18.2,0.206421,0,0,1
2023-01-02 01:00:00,7.9,7.97,21.14,1012.5,52.6,17.1,0.386743,1,0,1
2023-01-02 02:00:00,7.49,9.2,16.81,1012.7,53.9,15.3,0.236913,2,0,1
2023-01-02 03:00:00,5.42,9.27,14.13,1012.8,65.8,13.4,0.360495,3,0,1
2023-01-02 04:00:00,6.11,9.69,10.0,1013.3,64.2,13.3,0.362125,4,0,1
2023-01-02 05:00:00,5.31,8.69,10.0,1012.2,67.9,10.8,0.478922,5,0,1
2023-01-02 06:00:00,4.17,7.31,10.33,1011.6,72.0,8.8,0.683691,6,0,1
2023-01-02 07:00:00,4.49,7.62,10.0,1011.2,64.8,8.2,0.390856,7,0,1
2023-01-02 08:00:00,2.47,5.8,15.22,1011.0,70.0,7.5,0.312662,8,0,1
2023-01-02 09:00:00,2.44,5.19,13.99,1010.1,74.3,8.1,0.127583,9,0,1
2023-01-02 10:00:00,0.32,3.66,18.54,1008.3,71.6,8.6,0.242828,10,0,1
2023-01-02 11:00:00,0.0,2.82,22.55,1008.2,63.8,8.5,0.29674,11,0,1
2023-01-02 12:00:00,0.0,3.9,24.13,1008.6,69.0,9.1,0.023249,12,0,1
2023-01-02 13:00:00,0.4,3.22,32.75,1008.7,69.6,9.9,0.035362,13,0,1
2023-01-02 14:00:00,2.15,4.86,36.78,1008.9,65.8,10.1,0.020065,14,0,1
