timestamp,workload_0_10,stress_0_10,hrv_rmssd_ms,migraine_prob_next_hour
2023-01-01 00:00:00,6.3,7.31,38.47,0.7235
2023-01-01 01:00:00,5.78,6.16,36.89,0.6554
2023-01-01 02:00:00,5.64,6.06,33.42,0.6546
2023-01-01 03:00:00,5.71,5.96,32.0,0.6553
2023-01-01 04:00:00,4.7,3.62,34.05,0.4852
2023-01-01 05:00:00,4.37,4.54,28.4,0.5431
2023-01-01 06:00:00,3.99,5.45,29.83,0.5777
2023-01-01 07:00:00,2.18,2.38,36.58,0.3262
2023-01-01 08:00:00,2.81,3.66,42.07,0.3999
2023-01-01 09:00:00,2.97,4.48,39.82,0.4579
2023-01-01 10:00:00,2.13,2.81,49.76,0.313
2023-01-01 11:00:00,1.8,1.84,60.21,0.2357
2023-01-01 12:00:00,2.11,3.68,52.27,0.3507
2023-01-01 13:00:00,1.84,2.97,49.16,0.3139
2023-01-01 14:00:00,1.72,3.04,50.82,0.3097
2023-01-01 15:00:00,0.76,1.47,56.05,0.2046
2023-01-01 16:00:00,1.66,1.96,66.9,0.2234
2023-01-01 17:00:00,2.19,3.43,76.11,0.281
2023-01-01 18:00:00,2.85,3.95,61.15,0.3652
2023-01-01 19:00:00,2.06,3.84,67.31,0.3186
2023-01-01 20:00:00,3.98,5.5,77.46,0.4432
2023-01-01 21:00:00,4.45,5.85,65.22,0.5149
2023-01-01 22:00:00,4.42,5.49,53.36,0.5277
2023-01-01 23:00:00,6.31,8.34,37.87,0.7701
2023-01-02 00:00:00,9.14,10.0,29.63,0.8889
2023-01-02 01:00:00,7.9,7.97,21.14,0.823
2023-01-02 02:00:00,7.49,9.2,16.81,0.8553
2023-01-02 03:00:00,5.42,9.27,14.13,0.8185
2023-01-02 04:00:00,6.11,9.69,10.0,0.8455
2023-01-02 05:00:00,5.31,8.69,10.0,0.7952
2023-01-02 06:00:00,4.17,7.31,10.33,0.7066
2023-01-02 07:00:00,4.49,7.62,10.0,0.7304
2023-01-02 08:00:00,2.47,5.8,15.22,0.5736
2023-01-02 09:00:00,2.44,5.19,13.99,0.5378
2023-01-02 10:00:00,0.32,3.66,18.54,0.3787
2023-01-02 11:00:00,0.0,2.82,22.55,0.3177
2023-01-02 12:00:00,0.0,3.9,24.13,0.3699
2023-01-02 13:00:00,0.4,3.22,32.75,0.324
2023-01-02 14:00:00,2.15,4.86,36.78,0.4605
2023-01-02 15:00:00,2.18,4.85,32.0,0.4747
